"date","geography","geography code","Rural Urban","Household Deprivation: All categories: Classification of household deprivation; measures: Value","Household Deprivation: Household is not deprived in any dimension; measures: Value","Household Deprivation: Household is deprived in 1 dimension; measures: Value","Household Deprivation: Household is deprived in 2 dimensions; measures: Value","Household Deprivation: Household is deprived in 3 dimensions; measures: Value","Household Deprivation: Household is deprived in 4 dimensions; measures: Value"
"2011","Bank Top","E05001553","Total",1872,630,621,459,150,12
"2011","Central","E05001554","Total",2126,664,700,529,210,23
"2011","Cockerton East","E05001555","Total",2257,1043,654,466,91,3
"2011","Cockerton West","E05001556","Total",1880,526,589,574,181,10
"2011","College","E05001557","Total",1851,1108,486,213,39,5
"2011","Eastbourne","E05001558","Total",2758,994,924,641,188,11
"2011","Faverdale","E05001559","Total",1204,807,300,83,12,2
"2011","Harrowgate Hill","E05001560","Total",2511,1172,843,422,71,3
"2011","Haughton East","E05001561","Total",1784,619,581,454,121,9
"2011","Haughton North","E05001562","Total",1544,689,534,258,60,3
"2011","Haughton West","E05001563","Total",2147,922,674,436,111,4
"2011","Heighington and Coniscliffe","E05001564","Total",1582,907,463,184,24,4
"2011","Hummersknott","E05001565","Total",1434,783,470,168,13,0
"2011","Hurworth","E05001566","Total",1604,844,516,210,34,0
"2011","Lascelles","E05001567","Total",1851,604,637,430,166,14
"2011","Lingfield","E05001568","Total",1706,554,614,432,102,4
"2011","Middleton St George","E05001569","Total",1884,1080,543,219,42,0
"2011","Mowden","E05001570","Total",1680,826,571,260,20,3
"2011","North Road","E05001571","Total",2933,1039,956,673,235,30
"2011","Northgate","E05001572","Total",2227,795,745,487,168,32
"2011","Park East","E05001573","Total",2727,1009,895,577,228,18
"2011","Park West","E05001574","Total",1581,870,469,214,23,5
"2011","Pierremont","E05001575","Total",2667,1267,842,445,105,8
"2011","Sadberge and Whessoe","E05001576","Total",860,432,295,120,13,0
"2011","Annfield Plain","E05007955","Total",3522,1190,1106,945,267,14
"2011","Aycliffe East","E05007956","Total",2787,1026,889,704,163,5
"2011","Aycliffe North","E05007957","Total",3271,1466,998,642,160,5
"2011","Aycliffe West","E05007958","Total",3335,1076,1078,919,256,6
"2011","Barnard Castle East","E05007959","Total",3856,1720,1270,723,134,9
"2011","Barnard Castle West","E05007960","Total",3563,1752,1197,522,84,8
"2011","Belmont","E05007961","Total",2750,1321,911,462,53,3
"2011","Benfieldside","E05007962","Total",2912,1381,922,506,101,2
"2011","Bishop Auckland Town","E05007963","Total",3565,1482,1178,731,163,11
"2011","Blackhalls","E05007964","Total",3371,992,1090,974,295,20
"2011","Brandon","E05007965","Total",4355,1725,1308,1020,286,16
"2011","Burnopfield and Dipton","E05007966","Total",3543,1603,1066,711,157,6
"2011","Chester-le-Street North and East","E05007967","Total",3820,1760,1231,685,138,6
"2011","Chester-le-Street South","E05007968","Total",3597,1709,1103,641,139,5
"2011","Chester-le-Street West Central","E05007969","Total",3541,1257,1045,950,267,22
"2011","Chilton","E05007970","Total",3950,1382,1223,1034,299,12
"2011","Consett North","E05007971","Total",3978,1668,1156,892,239,23
"2011","Coundon","E05007972","Total",3151,993,1011,830,294,23
"2011","Coxhoe","E05007973","Total",3080,1174,955,757,184,10
"2011","Craghead and South Moor","E05007974","Total",3438,1082,1044,989,306,17
"2011","Crook North and Tow Law","E05007975","Total",3359,1265,1048,804,229,13
"2011","Crook South","E05007976","Total",3826,1370,1207,967,270,12
"2011","Dawdon","E05007977","Total",3115,965,998,854,283,15
"2011","Deerness Valley","E05007978","Total",4279,1712,1312,968,279,8
"2011","Delves Lane and Consett South","E05007979","Total",5275,2154,1597,1157,352,15
"2011","Deneside","E05007980","Total",3104,817,952,959,359,17
"2011","Durham South","E05007981","Total",2879,1383,827,553,110,6
"2011","Easington","E05007982","Total",3452,1106,1005,1014,310,17
"2011","Elvet","E05007983","Total",1668,867,557,208,29,7
"2011","Esh","E05007984","Total",2878,1212,877,664,117,8
"2011","Evenwood","E05007985","Total",3692,1428,1167,871,217,9
"2011","Ferryhill","E05007986","Total",4163,1357,1256,1197,342,11
"2011","Framwellgate Moor","E05007987","Total",4487,2102,1344,842,194,5
"2011","Gilesgate","E05007988","Total",3616,1506,1086,773,236,15
"2011","Horden","E05007989","Total",3628,845,1006,1243,509,25
"2011","Lanchester","E05007990","Total",3411,1529,1108,665,100,9
"2011","Leadgate and Medomsley","E05007991","Total",4248,1833,1306,866,232,11
"2011","Lumley","E05007992","Total",3213,1402,1029,622,158,2
"2011","Murton","E05007993","Total",3511,1140,1069,988,296,18
"2011","Neville's Cross","E05007994","Total",3546,2298,971,224,51,2
"2011","Newton Hall","E05007995","Total",3353,1700,1068,505,78,2
"2011","Ouston and Urpeth","E05007996","Total",3268,1532,1045,546,138,7
"2011","Pelton","E05007997","Total",3645,1574,1131,749,180,11
"2011","Peterlee East","E05007998","Total",3081,781,966,971,349,14
"2011","Peterlee West","E05007999","Total",3081,1016,969,837,248,11
"2011","Sacriston","E05008000","Total",2897,1185,888,635,180,9
"2011","Seaham","E05008001","Total",3612,1642,1026,770,164,10
"2011","Sedgefield","E05008002","Total",2997,1582,873,469,71,2
"2011","Sherburn","E05008003","Total",4118,1714,1262,905,226,11
"2011","Shildon East","E05008004","Total",3775,1390,1237,877,258,13
"2011","Shildon West","E05008005","Total",3255,1051,1008,924,252,20
"2011","Shotton","E05008006","Total",3990,1254,1119,1170,429,18
"2011","Spennymoor and Middlestone","E05008007","Total",4258,1699,1248,1000,295,16
"2011","Stanley","E05008008","Total",4166,1314,1255,1188,395,14
"2011","Tanfield","E05008009","Total",3573,1493,1102,773,199,6
"2011","Thornley","E05008010","Total",3084,878,888,981,319,18
"2011","Trimdon","E05008011","Total",3192,1104,1011,829,241,7
"2011","Tudhoe","E05008012","Total",4083,1466,1230,1063,311,13
"2011","Weardale","E05008013","Total",3700,1631,1259,641,162,7
"2011","West Auckland","E05008014","Total",3739,1532,1126,830,238,13
"2011","Willington","E05008015","Total",4005,1504,1207,996,287,11
"2011","Wingate","E05008016","Total",4387,1747,1298,1040,286,16
"2011","Woodhouse Close","E05008017","Total",3809,1147,1166,1071,389,36
"2011","Brus","E05001465","Total",2891,718,924,892,345,12
"2011","Burn Valley","E05001466","Total",2522,936,852,537,185,12
"2011","Dyke House","E05001467","Total",2186,534,672,668,295,17
"2011","Elwick","E05001468","Total",830,450,261,98,19,2
"2011","Fens","E05001469","Total",2159,796,778,498,80,7
"2011","Foggy Furze","E05001470","Total",2044,717,636,524,156,11
"2011","Grange","E05001471","Total",2334,842,706,571,201,14
"2011","Greatham","E05001472","Total",952,402,295,203,52,0
"2011","Hart","E05001473","Total",2899,1484,834,504,74,3
"2011","Owton","E05001474","Total",2516,589,820,777,312,18
"2011","Park","E05001475","Total",2446,1324,785,296,40,1
"2011","Rift House","E05001476","Total",2772,726,871,908,248,19
"2011","Rossmere","E05001477","Total",2792,872,898,802,207,13
"2011","St Hilda","E05001478","Total",2610,773,808,747,268,14
"2011","Seaton","E05001479","Total",2862,1247,987,526,101,1
"2011","Stranton","E05001480","Total",3133,838,953,896,408,38
"2011","Throston","E05001481","Total",2486,1103,741,523,113,6
"2011","Acklam","E05001482","Total",2498,1202,866,376,50,4
"2011","Ayresome","E05001483","Total",2567,806,838,659,252,12
"2011","Beckfield","E05001484","Total",2230,518,729,735,230,18
"2011","Beechwood","E05001485","Total",2426,613,821,683,291,18
"2011","Brookfield","E05001486","Total",2482,1076,853,484,68,1
"2011","Clairville","E05001487","Total",2228,651,739,608,215,15
"2011","Coulby Newham","E05001488","Total",3827,1595,1083,866,264,19
"2011","Gresham","E05001489","Total",3820,942,1335,1064,441,38
"2011","Hemlington","E05001490","Total",2595,762,862,697,256,18
"2011","Kader","E05001491","Total",2118,930,714,392,76,6
"2011","Ladgate","E05001492","Total",2343,796,804,568,168,7
"2011","Linthorpe","E05001493","Total",3719,1794,1211,597,112,5
"2011","North Ormesby and Brambles Farm","E05001494","Total",2815,605,925,882,375,28
"2011","Marton","E05001495","Total",2028,1055,609,308,55,1
"2011","Marton West","E05001496","Total",2205,1256,652,256,40,1
"2011","Middlehaven","E05001497","Total",2057,431,657,602,331,36
"2011","Nunthorpe","E05001498","Total",1899,1073,609,194,23,0
"2011","Pallister","E05001499","Total",2474,566,782,790,322,14
"2011","Park","E05001500","Total",2339,883,763,517,158,18
"2011","Park End","E05001501","Total",2531,596,805,795,313,22
"2011","Stainton and Thornton","E05001502","Total",1229,547,383,231,67,1
"2011","Thorntree","E05001503","Total",2481,454,793,777,421,36
"2011","University","E05001504","Total",2292,578,782,636,261,35
"2011","Alnwick","E05008018","Total",2138,915,679,425,113,6
