geo_code,geo_label,geo_labelw,label,name,x,y
95EE06,Dunloy,,N9200000295EE06   ,Dunloy,116690.494719239,577978.194852776
E05000251,Askew,,E92000001E05000251,Askew,522108.426762684,179737.698746863
E05003736,Wool,,E92000001E05003736,Wool,383609.152155892,87621.5640145501
95JJ19,Strand,,N9200000295JJ19   ,Strand,98790.4191047796,596409.436386967
E05003384,Sandiacre South,,E92000001E05003384,Sandiacre South,447637.717197035,335778.339698395
W05000245,Dyffryn Ceiriog/Ceiriog Valley,Dyffryn Ceiriog,W92000004W05000245,Dyffryn Ceiriog/Ceiriog Valley,317270.162337411,335925.60166953
E05001290,Kingshurst and Fordbridge,,E92000001E05001290,Kingshurst and Fordbridge,416993.775245655,287492.192255827
E05003748,Chesil Bank,,E92000001E05003748,Chesil Bank,359093.586757904,86595.1567934669
E05002034,Weston-super-Mare Milton and Old Worle,,E92000001E05002034,Weston-super-Mare Milton and Old Worle,334435.549596263,162791.524829792
E05002048,Bradley Stoke South,,E92000001E05002048,Bradley Stoke South,362594.933155888,181319.242055714
E05002074,Winterbourne,,E92000001E05002074,Winterbourne,364423.622952226,180196.566285192
E05008885,Racecourse,,E92000001E05008885,Racecourse,455486.051708569,360945.042882804
95CC04,Carrigatuke,,N9200000295CC04   ,Carrigatuke,97209.3514461972,492571.860878687
E05005544,Fishtoft,,E92000001E05005544,Fishtoft,536246.425645038,342618.501337883
E05007144,Helmingham and Coddenham,,E92000001E05007144,Helmingham and Coddenham,616665.903854846,257120.887338052
W05000737,New Tredegar,Tredegar Newydd,W92000004W05000737,New Tredegar,314446.606379141,203246.543155207
E05004841,Leggatts,,E92000001E05004841,Leggatts,510209.235388069,199093.550103788
E05007853,Lindridge,,E92000001E05007853,Lindridge,367885.679399148,270544.652873984
E05006310,Rillington,,E92000001E05006310,Rillington,487204.131965576,475667.97252532
E05003228,Penrith South,,E92000001E05003228,Penrith South,351524.461960386,529165.21269092
E05002255,Luton and Wayfield,,E92000001E05002255,Luton and Wayfield,576669.70840141,166049.434457783
E05004221,Rochford,,E92000001E05004221,Rochford,586148.41995118,190310.991433952
E05007874,Greenlands,,E92000001E05007874,Greenlands,405724.04830987,265403.199848804
E05002772,Huntingdon North,,E92000001E05002772,Huntingdon North,524639.090604861,273914.996480443
E05004373,Podsmead,,E92000001E05004373,Podsmead,382277.325928375,215963.772104822
E05001003,Central,,E92000001E05001003,Central,457927.696429033,402241.232639267
E05000232,Cazenove,,E92000001E05000232,Cazenove,534087.403590943,187007.554770931
E05004331,Sandywell,,E92000001E05004331,Sandywell,406293.805116927,219713.041793625
E05007049,Cheadle North East,,E92000001E05007049,Cheadle North East,401485.369840203,344733.914316324
E05000652,Breightmet,,E92000001E05000652,Breightmet,374474.750128874,409390.668624595
E05005237,Overton,,E92000001E05005237,Overton,341251.316977695,457415.947753008
