Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
2020430158837,"11:52am, 29th May 2020",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430158837/,https://api.cyclestreets.net/v2/collisions.location?id=2020430158837,51.751147,-1.238086
201543P253055,"4:30am, 23rd May 2015",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201543P253055/,https://api.cyclestreets.net/v2/collisions.location?id=201543P253055,51.752951,-1.234235
201543P317065,"5:00pm, 23rd June 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P317065/,https://api.cyclestreets.net/v2/collisions.location?id=201543P317065,51.751972,-1.237076
201443P230074,"8:11am, 23rd July 2014",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/201443P230074/,https://api.cyclestreets.net/v2/collisions.location?id=201443P230074,51.753372,-1.232677
201443P245074,"8:00am, 27th July 2014",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201443P245074/,https://api.cyclestreets.net/v2/collisions.location?id=201443P245074,51.757404,-1.219714
201343P041053,"4:00pm, 1st May 2013",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201343P041053/,https://api.cyclestreets.net/v2/collisions.location?id=201343P041053,51.750264,-1.241523
201343P058063,"2:25pm, 8th June 2013",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201343P058063/,https://api.cyclestreets.net/v2/collisions.location?id=201343P058063,51.755628,-1.22583
201343P291113,"8:20am, 20th November 2013",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201343P291113/,https://api.cyclestreets.net/v2/collisions.location?id=201343P291113,51.750118,-1.242598
201243P186092,"10:44am, 18th September 2012",serious,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/201243P186092/,https://api.cyclestreets.net/v2/collisions.location?id=201243P186092,51.756725,-1.221812
201243P310112,"8:35am, 27th November 2012",serious,"Pedestrian,Cyclist",2,1,https://www.cyclestreets.net/collisions/reports/201243P310112/,https://api.cyclestreets.net/v2/collisions.location?id=201243P310112,51.750547,-1.239446
201143P078071,"4:20pm, 7th July 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P078071/,https://api.cyclestreets.net/v2/collisions.location?id=201143P078071,51.756286,-1.223413
