Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
200443P341054,"3:28pm, 26th May 2004",fatal,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200443P341054/,https://api.cyclestreets.net/v2/collisions.location?id=200443P341054,51.748479,-1.239481
200343P207113,"11:37pm, 16th November 2003",fatal,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200343P207113/,https://api.cyclestreets.net/v2/collisions.location?id=200343P207113,51.745822,-1.231849
200143P296091,"2:47am, 27th September 2001",fatal,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P296091/,https://api.cyclestreets.net/v2/collisions.location?id=200143P296091,51.74509,-1.229978
200943P046029,"4:13pm, 4th February 2009",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200943P046029/,https://api.cyclestreets.net/v2/collisions.location?id=200943P046029,51.747746,-1.237321
200943P115079,"1:30pm, 13th July 2009",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200943P115079/,https://api.cyclestreets.net/v2/collisions.location?id=200943P115079,51.747744,-1.237031
200943P188089,"8:13pm, 18th August 2009",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200943P188089/,https://api.cyclestreets.net/v2/collisions.location?id=200943P188089,51.746643,-1.233718
200943P311089,"3:50pm, 12th August 2009",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200943P311089/,https://api.cyclestreets.net/v2/collisions.location?id=200943P311089,51.736466,-1.217526
200943P346119,"6:10pm, 17th November 2009",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200943P346119/,https://api.cyclestreets.net/v2/collisions.location?id=200943P346119,51.737101,-1.218384
200943P368109,"6:00pm, 30th October 2009",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200943P368109/,https://api.cyclestreets.net/v2/collisions.location?id=200943P368109,51.742732,-1.226832
200743P003117,"8:10am, 1st November 2007",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200743P003117/,https://api.cyclestreets.net/v2/collisions.location?id=200743P003117,51.737101,-1.218384
200743P026087,"3:42pm, 2nd August 2007",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200743P026087/,https://api.cyclestreets.net/v2/collisions.location?id=200743P026087,51.747285,-1.23559
200743P088047,"3:55pm, 11th April 2007",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200743P088047/,https://api.cyclestreets.net/v2/collisions.location?id=200743P088047,51.741827,-1.225978
