Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
200643P013066,"12:55am, 4th June 2006",fatal,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200643P013066/,https://api.cyclestreets.net/v2/collisions.location?id=200643P013066,51.761648,-1.205064
200643P009126,"12:55pm, 2nd December 2006",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200643P009126/,https://api.cyclestreets.net/v2/collisions.location?id=200643P009126,51.732756,-1.21397
200643P020126,"9:45pm, 1st December 2006",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200643P020126/,https://api.cyclestreets.net/v2/collisions.location?id=200643P020126,51.785444,-1.269449
200643P021036,"5:00pm, 4th March 2006",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/200643P021036/,https://api.cyclestreets.net/v2/collisions.location?id=200643P021036,51.739399,-1.225875
200643P022106,"2:40pm, 3rd October 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200643P022106/,https://api.cyclestreets.net/v2/collisions.location?id=200643P022106,51.775341,-1.26425
200643P033046,"5:05pm, 3rd April 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200643P033046/,https://api.cyclestreets.net/v2/collisions.location?id=200643P033046,51.74408,-1.240569
200643P042076,"5:30pm, 3rd July 2006",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200643P042076/,https://api.cyclestreets.net/v2/collisions.location?id=200643P042076,51.778045,-1.265365
200643P067086,"12:48pm, 7th August 2006",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/200643P067086/,https://api.cyclestreets.net/v2/collisions.location?id=200643P067086,51.758972,-1.194968
200643P092036,"7:15am, 8th March 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200643P092036/,https://api.cyclestreets.net/v2/collisions.location?id=200643P092036,51.750403,-1.245099
200643P094056,"12:30pm, 4th May 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200643P094056/,https://api.cyclestreets.net/v2/collisions.location?id=200643P094056,51.72987,-1.212716
