Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
2019430024462,"6:15am, 22nd January 2019",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2019430024462/,https://api.cyclestreets.net/v2/collisions.location?id=2019430024462,51.749909,-1.244002
2019430142429,"1:00pm, 8th May 2019",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2019430142429/,https://api.cyclestreets.net/v2/collisions.location?id=2019430142429,51.750333,-1.244328
2019430171180,"6:40am, 5th June 2019",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2019430171180/,https://api.cyclestreets.net/v2/collisions.location?id=2019430171180,51.749909,-1.244002
2019430196548,"11:00am, 28th June 2019",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2019430196548/,https://api.cyclestreets.net/v2/collisions.location?id=2019430196548,51.749928,-1.244147
2019430287225,"10:45pm, 17th August 2019",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2019430287225/,https://api.cyclestreets.net/v2/collisions.location?id=2019430287225,51.749918,-1.244017
2019430316564,"6:45pm, 10th October 2019",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/2019430316564/,https://api.cyclestreets.net/v2/collisions.location?id=2019430316564,51.750272,-1.244576
2018430092489,"5:35am, 26th March 2018",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2018430092489/,https://api.cyclestreets.net/v2/collisions.location?id=2018430092489,51.749927,-1.243987
2018430175852,"8:40am, 30th May 2018",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2018430175852/,https://api.cyclestreets.net/v2/collisions.location?id=2018430175852,51.749891,-1.243988
2017430040309,"8:47pm, 3rd February 2017",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017430040309/,https://api.cyclestreets.net/v2/collisions.location?id=2017430040309,51.749918,-1.244017
2017430167326,"2:00am, 3rd June 2017",serious,Cyclist,3,2,https://www.cyclestreets.net/collisions/reports/2017430167326/,https://api.cyclestreets.net/v2/collisions.location?id=2017430167326,51.750245,-1.244634
2016430039339,"9:12am, 17th December 2016",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016430039339/,https://api.cyclestreets.net/v2/collisions.location?id=2016430039339,51.749848,-1.243964
201643P026056,"11:56pm, 4th May 2016",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P026056/,https://api.cyclestreets.net/v2/collisions.location?id=201643P026056,51.749849,-1.244036
201643P202056,"4:45pm, 21st May 2016",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P202056/,https://api.cyclestreets.net/v2/collisions.location?id=201643P202056,51.749839,-1.243993
201543P146045,"6:52am, 13th April 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P146045/,https://api.cyclestreets.net/v2/collisions.location?id=201543P146045,51.750319,-1.244246
201443P064044,"5:20pm, 9th April 2014",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P064044/,https://api.cyclestreets.net/v2/collisions.location?id=201443P064044,51.750385,-1.244925
201343P125053,"1:36pm, 7th May 2013",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201343P125053/,https://api.cyclestreets.net/v2/collisions.location?id=201343P125053,51.750257,-1.24471
200943P114039,"7:50am, 13th March 2009",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/200943P114039/,https://api.cyclestreets.net/v2/collisions.location?id=200943P114039,51.749858,-1.244238
200943P239099,"10:20am, 23rd September 2009",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200943P239099/,https://api.cyclestreets.net/v2/collisions.location?id=200943P239099,51.749856,-1.243949
200643P092036,"7:15am, 8th March 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200643P092036/,https://api.cyclestreets.net/v2/collisions.location?id=200643P092036,51.750403,-1.245099
200643P294056,"10:18pm, 24th May 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200643P294056/,https://api.cyclestreets.net/v2/collisions.location?id=200643P294056,51.749767,-1.24395
200643P339106,"9:06am, 25th October 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200643P339106/,https://api.cyclestreets.net/v2/collisions.location?id=200643P339106,51.749767,-1.24395
200643P343106,"5:05pm, 26th October 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200643P343106/,https://api.cyclestreets.net/v2/collisions.location?id=200643P343106,51.749858,-1.244238
200443P213034,"10:25pm, 16th March 2004",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200443P213034/,https://api.cyclestreets.net/v2/collisions.location?id=200443P213034,51.749676,-1.243807
200143P387051,"2:36pm, 25th May 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P387051/,https://api.cyclestreets.net/v2/collisions.location?id=200143P387051,51.749583,-1.243374
199943P418069,"2:43pm, 28th June 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P418069/,https://api.cyclestreets.net/v2/collisions.location?id=199943P418069,51.750036,-1.243946
2020430032309,"11:28pm, 27th January 2020",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430032309/,https://api.cyclestreets.net/v2/collisions.location?id=2020430032309,51.749901,-1.244176
2020430132994,"2:47am, 14th March 2020",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430132994/,https://api.cyclestreets.net/v2/collisions.location?id=2020430132994,51.7499,-1.244075
2020430314906,"1:00pm, 4th October 2020",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430314906/,https://api.cyclestreets.net/v2/collisions.location?id=2020430314906,51.749974,-1.24432
2020430358385,"11:37pm, 3rd November 2020",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430358385/,https://api.cyclestreets.net/v2/collisions.location?id=2020430358385,51.749918,-1.243973
