Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
200043P019080,"8:02am, 5th August 2000",fatal,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200043P019080/,https://api.cyclestreets.net/v2/collisions.location?id=200043P019080,51.752352,-1.254627
2019430341498,"4:09am, 1st November 2019",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/2019430341498/,https://api.cyclestreets.net/v2/collisions.location?id=2019430341498,51.750882,-1.245797
2019430381719,"11:50am, 29th November 2019",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2019430381719/,https://api.cyclestreets.net/v2/collisions.location?id=2019430381719,51.751973,-1.247676
2018430171212,"2:27pm, 6th June 2018",serious,"Pedestrian,Bus/coach/minibus occupant",2,1,https://www.cyclestreets.net/collisions/reports/2018430171212/,https://api.cyclestreets.net/v2/collisions.location?id=2018430171212,51.751873,-1.247446
2018430311699,"3:30pm, 11th October 2018",serious,"Pedestrian,Cyclist",2,1,https://www.cyclestreets.net/collisions/reports/2018430311699/,https://api.cyclestreets.net/v2/collisions.location?id=2018430311699,51.752518,-1.2541
2018430352491,"11:20am, 15th November 2018",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/2018430352491/,https://api.cyclestreets.net/v2/collisions.location?id=2018430352491,51.752585,-1.250578
201643P040026,"1:33pm, 7th February 2016",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201643P040026/,https://api.cyclestreets.net/v2/collisions.location?id=201643P040026,51.751531,-1.246978
201543P007045,"5:09pm, 1st April 2015",serious,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/201543P007045/,https://api.cyclestreets.net/v2/collisions.location?id=201543P007045,51.752644,-1.250697
201543P106075,"11:16am, 12th July 2015",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201543P106075/,https://api.cyclestreets.net/v2/collisions.location?id=201543P106075,51.752336,-1.248993
201543P253035,"3:19pm, 21st March 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P253035/,https://api.cyclestreets.net/v2/collisions.location?id=201543P253035,51.752069,-1.24794
201543P315025,"3:47am, 14th February 2015",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201543P315025/,https://api.cyclestreets.net/v2/collisions.location?id=201543P315025,51.750812,-1.245556
201543P342115,"6:30pm, 29th November 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P342115/,https://api.cyclestreets.net/v2/collisions.location?id=201543P342115,51.752691,-1.251102
201443P017034,"8:54pm, 3rd March 2014",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P017034/,https://api.cyclestreets.net/v2/collisions.location?id=201443P017034,51.752306,-1.248747
201443P068084,"10:40pm, 7th August 2014",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P068084/,https://api.cyclestreets.net/v2/collisions.location?id=201443P068084,51.750702,-1.245355
201343P183083,"11:25pm, 21st August 2013",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P183083/,https://api.cyclestreets.net/v2/collisions.location?id=201343P183083,51.752269,-1.255571
201343P262043,"2:30pm, 19th April 2013",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P262043/,https://api.cyclestreets.net/v2/collisions.location?id=201343P262043,51.752372,-1.254845
201243P002092,"6:45pm, 1st September 2012",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P002092/,https://api.cyclestreets.net/v2/collisions.location?id=201243P002092,51.752226,-1.248835
201243P034092,"6:18pm, 5th September 2012",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P034092/,https://api.cyclestreets.net/v2/collisions.location?id=201243P034092,51.752132,-1.248257
