Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
2020430298515,"10:54pm, 7th September 2020",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430298515/,https://api.cyclestreets.net/v2/collisions.location?id=2020430298515,51.742744,-1.23869
2019430075638,"7:06pm, 11th March 2019",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2019430075638/,https://api.cyclestreets.net/v2/collisions.location?id=2019430075638,51.748725,-1.243095
2018430173043,"3:45am, 22nd May 2018",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/2018430173043/,https://api.cyclestreets.net/v2/collisions.location?id=2018430173043,51.739866,-1.235741
2017430015403,"8:10am, 7th December 2017",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017430015403/,https://api.cyclestreets.net/v2/collisions.location?id=2017430015403,51.742546,-1.23865
2017430299146,"5:00pm, 1st October 2017",serious,"Pedestrian,Car occupant",2,2,https://www.cyclestreets.net/collisions/reports/2017430299146/,https://api.cyclestreets.net/v2/collisions.location?id=2017430299146,51.742682,-1.238807
2017430300560,"8:20am, 3rd October 2017",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017430300560/,https://api.cyclestreets.net/v2/collisions.location?id=2017430300560,51.734916,-1.23232
2017430368265,"12:20pm, 30th November 2017",serious,"Pedestrian,Cyclist",2,1,https://www.cyclestreets.net/collisions/reports/2017430368265/,https://api.cyclestreets.net/v2/collisions.location?id=2017430368265,51.749077,-1.243335
2017430382705,"7:00pm, 12th December 2017",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017430382705/,https://api.cyclestreets.net/v2/collisions.location?id=2017430382705,51.745418,-1.240543
2016430009514,"4:32pm, 21st November 2016",serious,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/2016430009514/,https://api.cyclestreets.net/v2/collisions.location?id=2016430009514,51.738911,-1.235109
201643P261066,"11:36am, 26th June 2016",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P261066/,https://api.cyclestreets.net/v2/collisions.location?id=201643P261066,51.737927,-1.234532
201543P201115,"5:37pm, 18th November 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P201115/,https://api.cyclestreets.net/v2/collisions.location?id=201543P201115,51.734875,-1.232296
201543P224045,"7:00am, 16th April 2015",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P224045/,https://api.cyclestreets.net/v2/collisions.location?id=201543P224045,51.737963,-1.234358
201443P052054,"6:30pm, 7th May 2014",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/201443P052054/,https://api.cyclestreets.net/v2/collisions.location?id=201443P052054,51.738749,-1.235083
201443P163094,"7:55am, 11th September 2014",serious,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/201443P163094/,https://api.cyclestreets.net/v2/collisions.location?id=201443P163094,51.748746,-1.243229
201443P178024,"6:10am, 19th February 2014",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P178024/,https://api.cyclestreets.net/v2/collisions.location?id=201443P178024,51.749126,-1.243541
201443P305034,"11:10am, 30th March 2014",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201443P305034/,https://api.cyclestreets.net/v2/collisions.location?id=201443P305034,51.741181,-1.237128
201343P267033,"5:57pm, 31st March 2013",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P267033/,https://api.cyclestreets.net/v2/collisions.location?id=201343P267033,51.735507,-1.232879
