Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
2020430366394,"9:14pm, 8th November 2020",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/2020430366394/,https://api.cyclestreets.net/v2/collisions.location?id=2020430366394,51.744322,-1.20141
2019430231924,"8:10am, 29th July 2019",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/2019430231924/,https://api.cyclestreets.net/v2/collisions.location?id=2019430231924,51.734945,-1.209555
201243P064062,"5:16pm, 6th June 2012",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201243P064062/,https://api.cyclestreets.net/v2/collisions.location?id=201243P064062,51.734974,-1.209587
201243P140122,"3:20am, 16th December 2012",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201243P140122/,https://api.cyclestreets.net/v2/collisions.location?id=201243P140122,51.73739,-1.207807
201143P031021,"11:00pm, 1st February 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P031021/,https://api.cyclestreets.net/v2/collisions.location?id=201143P031021,51.737927,-1.207363
201143P316071,"6:21pm, 29th July 2011",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P316071/,https://api.cyclestreets.net/v2/collisions.location?id=201143P316071,51.733811,-1.210476
200343P320023,"4:20pm, 25th February 2003",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200343P320023/,https://api.cyclestreets.net/v2/collisions.location?id=200343P320023,51.736942,-1.208104
200143P240091,"5:00pm, 21st September 2001",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200143P240091/,https://api.cyclestreets.net/v2/collisions.location?id=200143P240091,51.733721,-1.210333
2020430115101,"5:25pm, 9th April 2020",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430115101/,https://api.cyclestreets.net/v2/collisions.location?id=2020430115101,51.743876,-1.201882
2020430274107,"1:47pm, 1st September 2020",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430274107/,https://api.cyclestreets.net/v2/collisions.location?id=2020430274107,51.741429,-1.204329
2020430282409,"8:20am, 7th September 2020",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430282409/,https://api.cyclestreets.net/v2/collisions.location?id=2020430282409,51.742804,-1.203001
2020430412557,"8:10pm, 5th December 2020",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430412557/,https://api.cyclestreets.net/v2/collisions.location?id=2020430412557,51.738202,-1.207108
2019430004804,"1:16pm, 5th January 2019",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2019430004804/,https://api.cyclestreets.net/v2/collisions.location?id=2019430004804,51.739248,-1.206293
2019430066886,"7:00pm, 28th February 2019",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2019430066886/,https://api.cyclestreets.net/v2/collisions.location?id=2019430066886,51.744501,-1.201219
2019430303204,"8:10am, 27th September 2019",slight,"Pedestrian,Cyclist",2,1,https://www.cyclestreets.net/collisions/reports/2019430303204/,https://api.cyclestreets.net/v2/collisions.location?id=2019430303204,51.741813,-1.203975
2018430092477,"6:20pm, 26th March 2018",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2018430092477/,https://api.cyclestreets.net/v2/collisions.location?id=2018430092477,51.738551,-1.206841
2018430199743,"11:09am, 19th June 2018",slight,"Pedestrian,Car occupant",2,1,https://www.cyclestreets.net/collisions/reports/2018430199743/,https://api.cyclestreets.net/v2/collisions.location?id=2018430199743,51.736359,-1.208487
2018430333108,"11:25pm, 31st October 2018",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2018430333108/,https://api.cyclestreets.net/v2/collisions.location?id=2018430333108,51.744509,-1.201161
2016430262405,"7:30am, 15th September 2016",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2016430262405/,https://api.cyclestreets.net/v2/collisions.location?id=2016430262405,51.735726,-1.208951
2016430337077,"2:00pm, 24th November 2016",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/2016430337077/,https://api.cyclestreets.net/v2/collisions.location?id=2016430337077,51.733811,-1.210288
201643P042056,"5:15pm, 6th May 2016",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201643P042056/,https://api.cyclestreets.net/v2/collisions.location?id=201643P042056,51.73832,-1.207009
201643P271026,"12:45am, 29th February 2016",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201643P271026/,https://api.cyclestreets.net/v2/collisions.location?id=201643P271026,51.733957,-1.210662
201543P032095,"8:11am, 2nd September 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P032095/,https://api.cyclestreets.net/v2/collisions.location?id=201543P032095,51.744532,-1.201281
201543P148125,"5:33pm, 7th December 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P148125/,https://api.cyclestreets.net/v2/collisions.location?id=201543P148125,51.744459,-1.201195
201543P323065,"1:10pm, 27th June 2015",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201543P323065/,https://api.cyclestreets.net/v2/collisions.location?id=201543P323065,51.743362,-1.202446
201543P325125,"1:57pm, 29th December 2015",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201543P325125/,https://api.cyclestreets.net/v2/collisions.location?id=201543P325125,51.744722,-1.201408
201443P013044,"8:30am, 2nd April 2014",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P013044/,https://api.cyclestreets.net/v2/collisions.location?id=201443P013044,51.744404,-1.201224
201443P309104,"11:51am, 27th October 2014",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201443P309104/,https://api.cyclestreets.net/v2/collisions.location?id=201443P309104,51.735743,-1.208908
201343P065093,"10:30pm, 10th September 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P065093/,https://api.cyclestreets.net/v2/collisions.location?id=201343P065093,51.74444,-1.20118
201343P106113,"5:00pm, 11th November 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P106113/,https://api.cyclestreets.net/v2/collisions.location?id=201343P106113,51.741181,-1.204497
201343P118073,"6:30am, 12th July 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P118073/,https://api.cyclestreets.net/v2/collisions.location?id=201343P118073,51.741449,-1.204304
201343P181073,"8:32am, 15th July 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P181073/,https://api.cyclestreets.net/v2/collisions.location?id=201343P181073,51.743351,-1.202387
201343P197103,"3:18pm, 16th October 2013",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201343P197103/,https://api.cyclestreets.net/v2/collisions.location?id=201343P197103,51.737229,-1.207882
201243P098082,"7:12pm, 10th August 2012",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P098082/,https://api.cyclestreets.net/v2/collisions.location?id=201243P098082,51.739178,-1.206327
201243P321072,"4:49pm, 23rd July 2012",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P321072/,https://api.cyclestreets.net/v2/collisions.location?id=201243P321072,51.735691,-1.20914
201143P272101,"5:18pm, 26th October 2011",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201143P272101/,https://api.cyclestreets.net/v2/collisions.location?id=201143P272101,51.736764,-1.208252
201043P143060,"12:40pm, 3rd June 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201043P143060/,https://api.cyclestreets.net/v2/collisions.location?id=201043P143060,51.742753,-1.203078
201043P246030,"7:34am, 2nd March 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201043P246030/,https://api.cyclestreets.net/v2/collisions.location?id=201043P246030,51.744449,-1.20131
201043P256100,"8:02am, 24th October 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201043P256100/,https://api.cyclestreets.net/v2/collisions.location?id=201043P256100,51.739268,-1.206326
201043P310040,"8:48pm, 29th April 2010",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201043P310040/,https://api.cyclestreets.net/v2/collisions.location?id=201043P310040,51.744449,-1.20131
200943P216019,"8:00pm, 22nd January 2009",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200943P216019/,https://api.cyclestreets.net/v2/collisions.location?id=200943P216019,51.739268,-1.206326
200843P204128,"5:30pm, 17th December 2008",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200843P204128/,https://api.cyclestreets.net/v2/collisions.location?id=200843P204128,51.744359,-1.201312
200843P325098,"6:05pm, 25th September 2008",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200843P325098/,https://api.cyclestreets.net/v2/collisions.location?id=200843P325098,51.744358,-1.201167
200843P408108,"6:03am, 3rd October 2008",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200843P408108/,https://api.cyclestreets.net/v2/collisions.location?id=200843P408108,51.738552,-1.206773
200743P177037,"12:10pm, 9th March 2007",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200743P177037/,https://api.cyclestreets.net/v2/collisions.location?id=200743P177037,51.743021,-1.202784
200743P310107,"12:45am, 27th October 2007",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200743P310107/,https://api.cyclestreets.net/v2/collisions.location?id=200743P310107,51.734528,-1.210029
200643P203106,"8:18am, 13th October 2006",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200643P203106/,https://api.cyclestreets.net/v2/collisions.location?id=200643P203106,51.738015,-1.207216
200643P398096,"10:55am, 28th September 2006",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200643P398096/,https://api.cyclestreets.net/v2/collisions.location?id=200643P398096,51.741681,-1.204111
200543P067055,"8:43pm, 6th May 2005",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200543P067055/,https://api.cyclestreets.net/v2/collisions.location?id=200543P067055,51.735511,-1.209143
200543P181075,"7:59pm, 15th July 2005",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200543P181075/,https://api.cyclestreets.net/v2/collisions.location?id=200543P181075,51.744358,-1.201167
200543P222045,"3:43pm, 19th April 2005",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200543P222045/,https://api.cyclestreets.net/v2/collisions.location?id=200543P222045,51.737211,-1.207955
200443P123074,"4:25pm, 7th July 2004",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200443P123074/,https://api.cyclestreets.net/v2/collisions.location?id=200443P123074,51.73569,-1.208995
200443P178124,"9:19am, 14th December 2004",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200443P178124/,https://api.cyclestreets.net/v2/collisions.location?id=200443P178124,51.736674,-1.208254
200443P300054,"5:30pm, 22nd May 2004",slight,Pedestrian,3,1,https://www.cyclestreets.net/collisions/reports/200443P300054/,https://api.cyclestreets.net/v2/collisions.location?id=200443P300054,51.735601,-1.209141
200343P034013,"4:39pm, 3rd January 2003",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200343P034013/,https://api.cyclestreets.net/v2/collisions.location?id=200343P034013,51.744449,-1.20131
200343P065113,"11:30am, 5th November 2003",slight,Pedestrian,1,2,https://www.cyclestreets.net/collisions/reports/200343P065113/,https://api.cyclestreets.net/v2/collisions.location?id=200343P065113,51.736047,-1.208699
200343P459033,"3:10pm, 26th March 2003",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200343P459033/,https://api.cyclestreets.net/v2/collisions.location?id=200343P459033,51.73408,-1.210326
200043P156110,"8:03am, 10th November 2000",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200043P156110/,https://api.cyclestreets.net/v2/collisions.location?id=200043P156110,51.7432,-1.202636
200043P185110,"8:52am, 14th November 2000",slight,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200043P185110/,https://api.cyclestreets.net/v2/collisions.location?id=200043P185110,51.744358,-1.201167
200043P338100,"9:00am, 23rd October 2000",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200043P338100/,https://api.cyclestreets.net/v2/collisions.location?id=200043P338100,51.744629,-1.201307
200043P360080,"6:33pm, 23rd August 2000",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200043P360080/,https://api.cyclestreets.net/v2/collisions.location?id=200043P360080,51.74427,-1.201458
