Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
2017430016998,"9:45am, 5th January 2017",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017430016998/,https://api.cyclestreets.net/v2/collisions.location?id=2017430016998,51.770712,-1.236597
2017430309234,"8:00pm, 11th October 2017",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017430309234/,https://api.cyclestreets.net/v2/collisions.location?id=2017430309234,51.770676,-1.236569
201643P098076,"9:00am, 4th July 2016",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201643P098076/,https://api.cyclestreets.net/v2/collisions.location?id=201643P098076,51.774105,-1.263459
201243P289052,"8:30pm, 30th May 2012",serious,"Pedestrian,Cyclist",2,1,https://www.cyclestreets.net/collisions/reports/201243P289052/,https://api.cyclestreets.net/v2/collisions.location?id=201243P289052,51.76931,-1.234928
201043P205090,"8:38pm, 16th September 2010",serious,Cyclist,2,2,https://www.cyclestreets.net/collisions/reports/201043P205090/,https://api.cyclestreets.net/v2/collisions.location?id=201043P205090,51.775294,-1.256713
200843P123078,"7:25am, 10th July 2008",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200843P123078/,https://api.cyclestreets.net/v2/collisions.location?id=200843P123078,51.775465,-1.255406
200443P049014,"2:37pm, 5th January 2004",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200443P049014/,https://api.cyclestreets.net/v2/collisions.location?id=200443P049014,51.768033,-1.232196
200443P128064,"9:00am, 10th June 2004",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200443P128064/,https://api.cyclestreets.net/v2/collisions.location?id=200443P128064,51.768126,-1.23263
200343P233123,"6:20pm, 16th December 2003",serious,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/200343P233123/,https://api.cyclestreets.net/v2/collisions.location?id=200343P233123,51.767944,-1.232343
200043P260090,"8:30am, 21st September 2000",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200043P260090/,https://api.cyclestreets.net/v2/collisions.location?id=200043P260090,51.774077,-1.263401
2020430148031,"4:15pm, 19th May 2020",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2020430148031/,https://api.cyclestreets.net/v2/collisions.location?id=2020430148031,51.775441,-1.256128
2019430263426,"11:08pm, 25th August 2019",slight,Cyclist,1,1,https://www.cyclestreets.net/collisions/reports/2019430263426/,https://api.cyclestreets.net/v2/collisions.location?id=2019430263426,51.7751,-1.25909
2017430025996,"10:00am, 27th August 2017",slight,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017430025996/,https://api.cyclestreets.net/v2/collisions.location?id=2017430025996,51.775612,-1.253342
