Accident Index,Timestamp,severity,Casualties,Number of Casualties,Number of Vehicles,url,apiUrl,Latitude,Longitude
2020430032150,"10:32am, 26th January 2020",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/2020430032150/,https://api.cyclestreets.net/v2/collisions.location?id=2020430032150,51.753683,-1.263541
2019430178891,"10:54pm, 11th June 2019",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/2019430178891/,https://api.cyclestreets.net/v2/collisions.location?id=2019430178891,51.754965,-1.262926
2017430002067,"8:23am, 22nd December 2017",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/2017430002067/,https://api.cyclestreets.net/v2/collisions.location?id=2017430002067,51.753115,-1.267505
201243P244112,"5:55pm, 22nd November 2012",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/201243P244112/,https://api.cyclestreets.net/v2/collisions.location?id=201243P244112,51.75332,-1.265477
201143P053071,"3:08am, 3rd July 2011",serious,Pedestrian,4,1,https://www.cyclestreets.net/collisions/reports/201143P053071/,https://api.cyclestreets.net/v2/collisions.location?id=201143P053071,51.75332,-1.265477
201043P105100,"7:23pm, 5th October 2010",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201043P105100/,https://api.cyclestreets.net/v2/collisions.location?id=201043P105100,51.754989,-1.25922
201043P130070,"12:12pm, 9th July 2010",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201043P130070/,https://api.cyclestreets.net/v2/collisions.location?id=201043P130070,51.754912,-1.26125
201043P182060,"10:35pm, 16th June 2010",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201043P182060/,https://api.cyclestreets.net/v2/collisions.location?id=201043P182060,51.755171,-1.259507
201043P340100,"7:10pm, 29th October 2010",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/201043P340100/,https://api.cyclestreets.net/v2/collisions.location?id=201043P340100,51.754995,-1.260234
200843P254078,"11:33am, 20th July 2008",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200843P254078/,https://api.cyclestreets.net/v2/collisions.location?id=200843P254078,51.755171,-1.259507
200643P199026,"1:40am, 19th February 2006",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200643P199026/,https://api.cyclestreets.net/v2/collisions.location?id=200643P199026,51.755171,-1.259507
200643P296026,"1:49pm, 25th February 2006",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200643P296026/,https://api.cyclestreets.net/v2/collisions.location?id=200643P296026,51.753321,-1.265622
200543P341065,"10:04pm, 22nd June 2005",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200543P341065/,https://api.cyclestreets.net/v2/collisions.location?id=200543P341065,51.752803,-1.269107
200443P059104,"5:20pm, 3rd October 2004",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/200443P059104/,https://api.cyclestreets.net/v2/collisions.location?id=200443P059104,51.753321,-1.265622
200343P383013,"1:06pm, 29th January 2003",serious,Cyclist,1,3,https://www.cyclestreets.net/collisions/reports/200343P383013/,https://api.cyclestreets.net/v2/collisions.location?id=200343P383013,51.754474,-1.26314
200243P247012,"5:33pm, 18th January 2002",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200243P247012/,https://api.cyclestreets.net/v2/collisions.location?id=200243P247012,51.755168,-1.259072
200043P037020,"8:25pm, 4th February 2000",serious,Pedestrian,1,1,https://www.cyclestreets.net/collisions/reports/200043P037020/,https://api.cyclestreets.net/v2/collisions.location?id=200043P037020,51.753146,-1.266494
199943P264099,"5:15pm, 17th September 1999",serious,Cyclist,1,2,https://www.cyclestreets.net/collisions/reports/199943P264099/,https://api.cyclestreets.net/v2/collisions.location?id=199943P264099,51.754385,-1.263286
